acctsessionid,acctstarttime,upload,download,acctsessiontime,callingstationid,calledstationid,calledstation_ssid
35,536b8a50d1813e1f2b948bf5644e8365d4182bcce2b4d0999da692eb3fdfc9b3,2024-09-12 08:00:00,0,0,122921.0,edc722f815b8924a7749ecdcc882fe9a66ea706fa9541690e9536b22b95747f0,ae31ca9dad4a810d912aff03006b19f769f9dba2302d54f6faf2821d7111007a,eduroam
36,b39e27c866fe0cc9ba29399831e1f8dea6a43b89bd1bc488ce584f36f871e772,2024-09-12 05:00:00,1,2,4.0,7f781053d3c4934d3da8f730e1549e2669b424e36b5407ea67c8e98febdabab0,71356742cba9643b7ac2be2411b3bfe66f89ec664847a51bdbacf31fd03962f8,Porto. Free Wi-Fi
37,a86d875142a03575551643258798ecf39d266f21f28cefea42bf198dd83e5b8b,2024-09-12 06:00:00,0,1,8.0,17428f349d7aa3b3c212137f83c7d160108634c25ba13af0bd47191a31ca5c53,ea1a7dd037f1871ad84ebad64fbd1dd27a290cfbf04c8e4b5d2e9356bbb7fbb2,eduroam
38,b82a8459e368579ed273ff42bbeb928a56d6e45f94b4688ce93a6ba928bf3912,2024-09-12 07:00:00,0,0,7.0,d3248932c1bfe4b5447c7d892689a6ba224bd423eb4c0686465817eb577aafbb,6e6acac95fc2fe18ee7ec004a3a6831b69d5adeee50921719f996529aa9910ec,Porto. Free Wi-Fi
39,a955a306a96b462c96f22be36b1043786bdcfc99600538be4b2e347762c2d649,2024-09-12 08:00:00,0,1,122922.0,b88cf616195adab5834d460ac5728172aa6ee2108948e899a700f54ecbf2f2a3,4f6dc1d796ba1733b53641bcee957694bc26bf1426f03d0f8e2a2471c9e6c927,eduroam
40,9344271895a8e7646bef0ff085d66c88be13eb1d90566a1fda942aebaee5dcd4,2024-09-12 07:00:00,0,0,30.0,3de6d44664165c4f5be5361066530dafe7820851ca3688bf63e58982da78fa42,d975d47523a8cf49897135f4fecedb30b8edc4620f49440af0cc1032a7627b75,Porto. Free Wi-Fi
41,cc294f1d1f00ab69309e16ada3a2e83b5f173dec0f5a5df23b8f350cf79ab4b9,2024-09-18 13:00:00,0,1,3.0,a527cd1a24c062334942edcb0be0685a50f056480c98d83495cb3ec1d08cfead,87799b0b393c42088b6afbaf683cd455f1be1406a56b7043deb40b0cf2c63302,eduroam
42,f4dcd739861257287949d7c4e2e4973a44e93e7ec5961ec2103b1496ce86f573,2024-09-12 01:00:00,0,0,2.0,0fd9cc95e759275ad68a509605bdad06484fee815685d0e0358ec08b46928949,2b40944c1952a453ce5b81583ff3c9d1f83d4e70a6cb00cfd673bbc3f99d0a77,eduroam
43,ff26fcfb90c389aeb4364277eb5ff22bcb97067694ec7705bb8f5e51d0ea0025,2024-09-18 11:00:00,0,0,0.0,5732afe6a5ed1c2d160eb3064dfcbdccb042ea24be6e231c72e95e75a2c50432,c93e99cadba03fbe40913017b7b7e0485091728f5aa73b869eb08495ca7a4b05,Porto. Free Wi-Fi
44,f4dcd739861257287949d7c4e2e4973a44e93e7ec5961ec2103b1496ce86f573,2024-09-12 01:00:00,0,0,3.0,0fd9cc95e759275ad68a509605bdad06484fee815685d0e0358ec08b46928949,54b65577b4911dd3f5bc71c8c8253252789c86938ca650783a8967bc09b2aae7,eduroam
45,49b5c8480f5359a76d3e34a9ddcb8b3700d46ad2e81cf428ee7a543ee86cebf2,2024-09-12 05:00:00,1,10,1.0,9f94a63d538f934573b9d681e667cfc927181a346766ec9abe6a2dd85986e491,c179b136c67ce3996bc38f2684531969dda73ac0ad8e319aaacecdf97be04d43,eduroam
46,037d86c80138f08dd8d1f084e27e53b971ecf82b9dd43ab475736b00b9df23cc,2024-09-12 03:00:00,0,0,2.0,f37ff9296aedaad321c766f8475ff452be8cff01b4f907df7906265c1de16c54,72e6bc264a984ebc78efaceea1dd34f83af566c3bfb35043e7b7c8f8821a4309,Porto. Free Wi-Fi
47,e146b76e290ab2d8ac2bfa64af291b98b1e64c8c4f6c07a6d90698f8ea48f01c,2024-09-12 04:00:00,4,134,3.0,cdceb06ef935e436877330bdeec829d28f494068a4d5b4aeb113192348b8bd39,a624b94f6637ac8e51fab1d1d6bc1eca5c8949e4e57783ed2b1d95da5a477902,eduroam
48,2fd046b4443c5286517702ad7e4253e055b447dcb042ef88fef4fc2ebe58d340,2024-09-18 11:00:00,0,1,5.0,bbde47075eeb0e58cdc5770baf2822b8ac00d05a66c699ea5e140dd4263e0143,6f2ed2e71e167341cbbce4447d8a9065f8370294352f1847a9b777103516a02f,eduroam
49,eabee25e8fd826f7d1fea53071513f42c090867104affa2fa4c003464527fe79,2024-09-18 13:00:00,0,1,4.0,bcdc1d7e17dc97d58edd396a8227b4cc36bf16d1c3d1aeca6b5a95f2efc167ef,3f96d689d9ff0c011de39cf41bddbdf8a3e11995926cdba23ca63120fe216653,Porto. Free Wi-Fi
50,37228828dceec13539c570245baec98d4ff418640d3cc5c6236393599633fda1,2024-09-18 10:00:00,0,0,0.0,810c181c16f759594d8d601936118138cad743d69ff9fe8af86deb500171f843,1ae875b94679f3bad8501c335fb784ba32bdb01e7640464fca31714c23007c69,Porto. Free Wi-Fi
51,833ff3de7303e416caf5e8d7891cdbfbfe34cb1d6c35f9745dc35c561282e352,2024-09-18 15:00:00,0,0,5.0,e2c3ba64ac0c55fbb8615b1c54a45cc28c4849b9150758b807aa97c6f4143040,5f40b808ca6863f029891afc87551bc82cf8501d880568942130d5619830f613,eduroam
52,cf36fe4b3f7928fa373a4595ba57b10444c4821b02b7d34da75b52b1312f6739,2024-09-12 06:00:00,1,0,0.0,927649f7c57c40d61584bd801eed11e2a624f108df6073b16b7e9564d03e3e6f,c5b75ca3821a19ebbaa99bfd055b16b36ef85c479c528735f86b6c24eacbc7a1,eduroam
53,3ae3cf7f2bf48aa4879e722a545b2ff6655d4ea19255ce756a6c77fd62de107a,2024-09-12 07:00:00,1,1,5.0,96af4d117aa49718d3330b1798bd20bc56baec2916689c98d50dbe5848495e12,c179b136c67ce3996bc38f2684531969dda73ac0ad8e319aaacecdf97be04d43,eduroam
54,242c4ed3b4fa4267e37070a37f2615ec3be06a6a4f37e205f9cfee7ca8e3ebc5,2024-09-12 02:00:00,2,33,15.0,368a2f48d20fee118076ed5b69009d4e90608f27668b3380edd50a22d3aceb84,655aa3bff00a3c6761d7990d6ae18ce4c306f54c19a77ad8c03333fd0f9000d1,Porto. Free Wi-Fi
